entity1,relation,entity2,merged_sentence,label
butterknife otto picassogreendao Android Developers,Contains,documentation,butterknife otto picassogreendao android developers contains documentation,T
butterknife otto picassogreendao Android Developers,Contains,class reference,butterknife otto picassogreendao android developers contains class reference,T
butterknife otto picassogreendao Android Developers,Contains,tutorials,butterknife otto picassogreendao android developers contains tutorials,T
Android Open Source Project,Contains,all necessary information,android open source project contains all necessary information,T
Google developer conference,Contains,videos,google developer conference contains videos,T
Google developer conference,Contains,slides,google developer conference contains slides,T
Google developer conference,Contains,videos,google developer conference contains videos,T
Google developer conference,Contains,slides,google developer conference contains slides,T
The Google Maps API port,provides,information,the google maps api port provides information,F
Android,be found on,the Android Developer site,android be found on the android developer site,T
other Android developer support sites,are,addition,other android developer support sites are addition,F
Questions regarding HTML,should include,some idea,questions regarding html should include some idea,F
Questions regarding HTML,should include,a minimal reproducible example,questions regarding html should include a minimal reproducible example,F
This tag,is often paired with,javascript,this tag is often paired with javascript,F
This tag,is often paired with,CSS,this tag is often paired with css,F
HTML,describes,the structure,html describes the structure,F
A browser,renders,HTML,a browser renders html,F
conjunction,defines,style,conjunction defines style,F
conjunction,defines,dynamic elements,conjunction defines dynamic elements,F
conjunction,defines,JavaScript,conjunction defines javascript,F
HTML,was invented by,Lee,html was invented by lee,T
HTML Tags,borrowed,the syntax,html tags borrowed the syntax,F
HTML Tags,were first publicly mentioned by,Lee,html tags were first publicly mentioned by lee,T
HTML Tags,borrowed,documentation standard,html tags borrowed documentation standard,T
HTML elements,form,the building blocks,html elements form the building blocks,T
HTML,allows,images,html allows images,T
HTML,allows,objects,html allows objects,T
HTML,can be used to create,interactive forms,html can be used to create interactive forms,T
HTML,provides,a means,html provides a means,F
HTML,create,structured documents,html create structured documents,T
HTML,can embed,scripts,html can embed scripts,T
JavaScript,affects,the behavior,javascript affects the behavior,F
Web pages,written in,different programming languages,web pages written in different programming languages,F
the opening tag,includes,a forward slash,the opening tag includes a forward slash,F
Various types,can be contained within,these tags,various types can be contained within these tags,F
Web browsers,read,these documents,web browsers read these documents,F
Web browsers,render,Web browsers,web browsers render web browsers,F
HTML standards,are maintained by,Wide Web Consortium,html standards are maintained by wide web consortium,T
iteration,was recently developed by,the W3C,iteration was recently developed by the w3c,F
W3C,calls,HTML5,w3c calls html5,F
Standard,is specified by,WHATWG,standard is specified by whatwg,F
HTML markups,are designed,CSS,html markups are designed css,T
interactive parts,are programmed,JavaScript,interactive parts are programmed javascript,F
A question,should be related to,jQuery,a question should be related to jquery,F
